LastName;FirstName;University;Faculty;Course;Group;Age;City
Астаховский;Туратбек;Санкт-Петербургский гос. электротехнический университет ?ЛЭТИ? имени В.И. Ульянова (Ленина);Юридический факультет;1;512;25;Санкт-Петербург
Абаев;Ауладия;Московский государственный юридический университет им. О. Е. Кутафина (МГЮА);Высшая школа бизнеса (факультет);6;163;21;Москва
Зададонова;Кантемир;Новосибирский государственный технический университет;Факультет фундаментальной медицины;6;467;25;Новосибирск
Агашин;Сабай;Южно-Уральский государственный университет (Национально исследовательский университет);Международный институт энергетической политики и дипломатии;1;515;25;Челябинск
Долбинов;Гоохон;Санкт-Петербургский государственный технологический институт (технический университет);Высшая школа телевидения (факультет);6;266;22;Санкт-Петербург
Безрединова;Анушт;Новосибирский государственный технический университет;Факультет педагогического образования;3;731;23;Новосибирск
Забарка;Сигния;Саратовский медицинский университет имени В.И. Разумовского Министерства здравоохранения РФ;Факультет глобальных процессов;5;354;24;Саратов
Белоцицкая;Шахиде;Московский государственный университет путей сообщения Императора Николая II;Факультет Международной журналистики;1;112;23;Москва
Дунайский;Пахлаван;Новосибирский государственный технический университет;Высшая школа телевидения (факультет);5;252;19;Новосибирск
Белепдинов;Айгуш;Ставропольский государственный аграрный университет;Высшая школа телевидения (факультет);2;224;21;Ставрополь
Держаков;Ируша;Курский государственный медицинский университет Министерства здравоохранения РФ;Mеханико?математический факультет;3;735;23;Курск
Булочникова;Бонислава;Ставропольский государственный аграрный университет;Факультет государственного управления;4;443;19;Ставрополь
Дардыкин;Аврил;Сибирский государственный аэрокосмический университет имени академика М.Ф. Решетнева;Социологический факультет;6;967;23;Красноярск
Задохин;Айла;Национальный исследовательский университет ?Московский институт электронной техники?;Высшая школа современных социальных наук (факультет);1;615;25;Москва
Дрохлянский;Ледруд;Сибирский федеральный университет;Факультет лингвистики и межкультурной коммуникации;3;636;26;Красноярск
Атарщикова;Аасим;Омский государственный технический университет;Геологический факультет;1;411;26;Омск
Живагина;Латина;Российский экономический университет имени Г.В. Плеханова;Высшая школа управления и инноваций (факультет);1;414;26;Москва
Бурдакина;Сиклитиния;Национальный исследовательский Московский государственный строительный университет;Факультет журналистики;6;764;19;Москва
Душина;Гульбаян;Казанский государственный медицинский университет Министерства здравоохранения РФ;Факультет государственного управления;6;666;20;Казань
Аренков;Аймара;Ставропольский государственный аграрный университет;Высшая школа современных социальных наук (факультет);5;451;20;Ставрополь
Антаскин;Университета;Воронежский государственный медицинский университет имени Н.Н. Бурденко Министерства здравоохранения РФ;Филологический факультет;4;547;21;Воронеж
Гергаиа;Таксима;Воронежский государственный медицинский университет имени Н.Н. Бурденко Министерства здравоохранения РФ;Международно-правовой факультет;3;436;19;Воронеж
Абдрахимова;Енелля;Тюменский государственный медицинский университет Министерства здравоохранения РФ;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);6;265;24;Тюмень
Гайдун;Мелития;Сибирский федеральный университет;Биологический факультет;4;744;19;Красноярск
Бевзенко;Гайфи;Алтайский государственный технический университет имени И.И. Ползунова;Биологический факультет;3;633;23;Барнаул
Батовкина;Юдалон;Волгоградский государственный медицинский университет Министерства здравоохранения РФ;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);1;611;23;Волгоград
Боднева;Розумурат;Санкт-Петербургский государственный архитектурно-строительный университет;Химический факультет;5;455;21;Санкт-Петербург
Богданков;Лало;Московский государственный технологический университет ?СТАНКИН?;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);1;214;19;Москва
Балшина;Агафения;Омский государственный медицинский университет Министерства здравоохранения РФ;Факультет журналистики;1;211;20;Омск
Езеров;Белаш;Университет ИТМО;Московская школа экономики (факультет);4;743;24;Санкт-Петербург
Альшанцева;Чэника;Всероссийская академия внешней торговли Министерства экономического развития РФ;Высшая школа государственного администрирования (факультет);6;362;23;Москва
Барбатуков;Юбилей;Первый Московский государственный медицинский университет имени И.М. Сеченова Министерства здравоохранения РФ;Биотехнологический факультет;6;661;19;Москва
Атланов;Дартон;Российская академия народного хозяйства и государственной службы при Президенте РФ;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);2;926;23;Москва
Бравкина;Звездан;Самарский государственный университет;Mеханико?математический факультет;3;436;24;Самара
Дябиров;Амират;Иркутский национальный исследовательский технический университет;Факультет космических исследований;3;332;20;Иркутск
Верхлин;Агина;Московский физико-технический институт (государственный университет);Высшая школа управления и инноваций (факультет);6;564;18;Москва
Зайденвурм;Летиция;Московский государственный университет путей сообщения Императора Николая II;Международно-правовой факультет;1;213;25;Москва
Вахрулин;Арфения;Санкт-Петербургский гос. электротехнический университет ?ЛЭТИ? имени В.И. Ульянова (Ленина);Биотехнологический факультет;6;566;22;Санкт-Петербург
Бунакин;Памалла;Северо-Западный Госмедуниверситет им. И.И. Мечникова.;Факультет политологии;3;135;20;Санкт-Петербург
Гайшенц;Ирмаис;Кубанский государственный технологический университет;Институт стран Азии и Африки;3;134;18;Краснодар
Дроботун;Досым;Российский университет дружбы народов;Высшая школа государственного аудита (факультет);5;857;22;Москва
Гуцаева;Мераль;Пермский государственный национальный исследовательский университет;Факультет политологии;2;122;24;Пермь
Антарь;Бехдин;Российский государственный гуманитарный университет;Европейский учебный институт;1;616;23;Москва
Амуркова;Анелус;Московский технический университет связи и информатики;Факультет наук о материалах;5;255;24;Москва
Бунакин;Памалла;Санкт-Петербургский политехнический университет Петра Великого;Факультет биоинженерии и биоинформатики;5;757;22;Санкт-Петербург
Городиленков;Мишон;Уральский гос. горный университет;Географический факультет;1;511;23;Екатеринбург
Гайзер;Сандор;Российский национальный исследовательский медицинский университет им. Н. И. Пирогова;Факультет лингвистики и межкультурной коммуникации;2;121;18;Москва
Бахтемов;Вини;Курский государственный медицинский университет Министерства здравоохранения РФ;Факультет наук о материалах;5;852;25;Курск
Дружаев;Вентанина;Северо-Западный Госмедуниверситет им. И.И. Мечникова.;Факультет прикладной экономики и коммерции;5;551;25;Санкт-Петербург
Анжигитов;Саидмомед;Пермский государственный национальный исследовательский университет;Факультет мировой политики;1;312;21;Пермь
Бигильдин;Лина;Воронежский государственный архитектурно-строительный университет;Географический факультет;5;754;26;Воронеж
Анатовская;Кистион;Новосибирский национальный исследовательский государственный университет;Высшая школа государственного аудита (факультет);6;164;21;Новосибирск
Беринев;Вергута;Государственный университет ?Дубна?;Факультет мировой политики;6;361;26;Дубна
Евтишина;Гилмегали;Саратовский государственный технический университет имени Гагарина Ю.А.;Биологический факультет;2;524;26;Саратов
Замковой;Кветина;Всероссийская академия внешней торговли Министерства экономического развития РФ;Факультет финансовой экономики;3;436;22;Москва
Гвазджяускас;Аллида;Южно-Уральский государственный университет (Национально исследовательский университет);Mеханико?математический факультет;6;661;23;Челябинск
Гозанов;Эамела;Государственный университет ?Дубна?;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);2;322;20;Дубна
Геранкин;Абукар;Санкт-Петербургский гос. электротехнический университет ?ЛЭТИ? имени В.И. Ульянова (Ленина);Факультет искусств;1;913;18;Санкт-Петербург
Гельмс;Ефросирия;Волгоградский государственный университет;Факультет политологии;6;863;25;Волгоград
Бронбшпиц;Оводбек;Российский государственный университет нефти и газа (национальный исследовательский университет) им. И. М. Губкина;Факультет фундаментальной медицины;6;966;18;Москва
Валита;Айфара;Московский государственный университет путей сообщения Императора Николая II;Факультет космических исследований;2;927;23;Москва
Зинюк;Праскеда;Балтийский федеральный университет им. Иммануила Канта;Mеханико?математический факультет;6;267;24;Калининград
Баютина;Орлан;Московский государственный технический университет имени Н.Э. Баумана;Факультет фундаментальной медицины;5;356;20;Москва
Ахремин;Брейен;Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова;Факультет искусств;5;256;21;Новочеркасск
Амутцева;Адверка;Всероссийская академия внешней торговли Министерства экономического развития РФ;Московская школа экономики (факультет);6;365;19;Москва
Апроцкая;Айнель;Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова;Факультет фундаментальной физико?химической инженерии;5;753;22;Новочеркасск
Дасюкевич;Джованни;Национальный исследовательский университет ?Московский институт электронной техники?;Факультет космических исследований;6;265;23;Москва
Беденко;Бесс;Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики;Международно-правовой факультет;1;512;24;Санкт-Петербург
Браиловский-Браилова;Арагац;Кубанский государственный технологический университет;Химический факультет;6;264;18;Краснодар
Амборнова;Алдабердин;Волгоградский государственный университет;Факультет политологии;4;441;25;Волгоград
Дугарская;Насрин;Московский государственный университет им. М.В. Ломоносова;Высшая школа современных социальных наук (факультет);2;222;25;Москва
Барбава;Чехра;Уральский государственный университет путей сообщения;Филологический факультет;3;436;19;Екатеринбург
Збаровская;Смирный;Санкт-Петербургский политехнический университет Петра Великого;Физический факультет;5;954;18;Санкт-Петербург
Зажитцкий;Тахийат;Сибирский государственный медицинский университет Министерства здравоохранения РФ;Mеханико?математический факультет;4;446;25;Томск
Верболов;Адзам;Нижегородский государственный технический университет имени Р.Е. Алексеева;Высшая школа государственного аудита (факультет);3;234;18;Нижний Новгород
Зыбанова;Аваширле;Московский государственный университет путей сообщения Императора Николая II;Факультет педагогического образования;5;553;21;Москва
Граснева;Джеймесетта;Воронежский государственный университет;Филологический факультет;5;251;25;Воронеж
Дерешина;Эмануила;Национальный исследовательский Томский политехнический университет;Европейский учебный институт;3;133;21;Томск
Буфавкин;Авсентий;Финансовый университет при Правительстве РФ;Геологический факультет;5;252;24;Москва
Байзин;Мубарик;Московский государственный технический университет имени Н.Э. Баумана;Высшая школа государственного администрирования (факультет);2;927;26;Москва
Булулуков;Вок;Национальный минерально-сырьевой университет ?Горный?;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);5;557;23;Санкт-Петербург
Арескина;Немезий;Санкт-Петербургский государственный университет;Факультет Международных отношений;6;862;18;Санкт-Петербург
Автамошина;Альфондус;Московский государственный технологический университет ?СТАНКИН?;Высшая школа управления и инноваций (факультет);3;831;22;Москва
Бутте;Людовик;Самарский гос. аэрокосмический университет имени академика С.П. Королёва (НИУ).;Факультет политологии;4;947;18;Самара
Горяничая;Поликсения;Иркутский национальный исследовательский технический университет;Социологический факультет;5;256;22;Иркутск
Грифина;Гаухарбар;Волгоградский государственный медицинский университет Министерства здравоохранения РФ;Высшая школа современных социальных наук (факультет);1;715;21;Волгоград
Вайрадян;Екдит;Самарский гос. аэрокосмический университет имени академика С.П. Королёва (НИУ).;Факультет искусств;2;722;22;Самара
Безак;Доларис;Всероссийская академия внешней торговли Министерства экономического развития РФ;Институт международных отношений и управления (School of Government and International Affairs);6;766;25;Москва
Булобаш;Зейналабдин;Российская академия народного хозяйства и государственной службы при Президенте РФ;Факультет искусств;6;361;19;Москва
Андержанова;Нафил;Северо-Западный Госмедуниверситет им. И.И. Мечникова.;Биологический факультет;2;724;20;Санкт-Петербург
Гугнина;Алиарда;Воронежский государственный университет;Факультет управления и политики;5;855;23;Воронеж
Асминкина;Свитислав;Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова;Высшая школа современных социальных наук (факультет);4;344;25;Новочеркасск
Двигубская;Кемилия;Северо-Восточный федеральный университет им. М. К. Аммосова;Юридический факультет;4;547;22;Якутск
Арсланян;Алилан;Санкт-Петербургский политехнический университет Петра Великого;Институт международных отношений и управления (School of Government and International Affairs);5;355;25;Санкт-Петербург
Генспоровский;Владиген;Национальный исследовательский ядерный университет ?МИФИ?;Высшая школа государственного аудита (факультет);3;131;23;Москва
Дебрянская;Абылай;Саратовский государственный технический университет имени Гагарина Ю.А.;Высшая школа государственного администрирования (факультет);4;541;25;Саратов
Булан;Луселия;Московский государственный технический университет имени Н.Э. Баумана;Юридический факультет;5;551;22;Москва
Амирбегов;Рауфина;Университет ИТМО;Институт международных отношений и управления (School of Government and International Affairs);5;952;22;Санкт-Петербург
Белокурик;Сецилия;Томский государственный педагогический университет;Факультет управления и политики;3;131;26;Томск
Брейгер;Фануса;Российский государственный университет им. Косыгина;Биотехнологический факультет;4;646;25;Москва
Заможняя;Магомедмурад;Нижегородский государственный университет имени Н.И. Лобачевского.;Факультет государственного управления;3;433;21;Нижний Новгород
Ванцович;Галя;Юго-Западный государственный университет;Факультет искусств;1;615;25;Курск
Букатин;Гейнрих;Московский государственный лингвистический университет;Факультет политологии;3;437;23;Москва
Демешко;Жамельжан;Волгоградский государственный медицинский университет Министерства здравоохранения РФ;Институт международных отношений и управления (School of Government and International Affairs);5;953;26;Волгоград
Гроностайский;Кэсси;Нижегородский государственный технический университет имени Р.Е. Алексеева;Юридический факультет;4;441;25;Нижний Новгород
Грахман;Аркади;Национальный исследовательский технологический университет ?МИСиС?;Факультет фундаментальной физико?химической инженерии;1;217;24;Москва
Вишталюк;Ивсталия;Финансовый университет при Правительстве РФ;Факультет педагогического образования;2;126;25;Москва
Ахмедуев;Гизир;Северо-Восточный федеральный университет им. М. К. Аммосова;Юридический факультет;4;544;26;Якутск
Вилькушинская;Зулкамар;Российский университет дружбы народов;Высшая школа государственного аудита (факультет);6;263;24;Москва
Волощин;Киек;Юго-Западный государственный университет;Юридический факультет;2;326;20;Курск
Гайдацевская;Айкандукт;Московский государственный технический университет гражданской авиации (МГТУ ГА);Международно-правовой факультет;1;212;18;Москва
Вынага;Арнестина;Российский национальный исследовательский медицинский университет им. Н. И. Пирогова;Геологический факультет;6;962;20;Москва
Ивалов;Силантий;Уральский федеральный университет имени первого Президента России Б.Н. Ельцина;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);2;422;18;Екатеринбург
Безкокотов;Фуркан;Московский государственный технический университет гражданской авиации (МГТУ ГА);Европейский учебный институт;3;333;18;Москва
Дворкин;Хадко;Российский национальный исследовательский медицинский университет им. Н. И. Пирогова;Высшая школа перевода (факультет);1;117;26;Москва
Амоскин;Алехмед;Юго-Западный государственный университет;Факультет почвоведения;3;731;19;Курск
Баландинский;Игамкули;Белгородский государственный технологический университет имени В.Г. Шухова;Факультет Международных экономических отношений;2;222;18;Белгород
Брушковский;Аркадий;Воронежский государственный университет;Факультет управления и политики;5;253;21;Воронеж
Гибаленко;Нисаниель;Национальный исследовательский Московский государственный строительный университет;Высшая школа современных социальных наук (факультет);2;426;22;Москва
Акакиева;Ратман;Национальный исследовательский университет ?Высшая школа экономики?;Факультет государственного управления;2;324;25;Москва
Заговеев;Меллиора;Казанский (Приволжский) федеральный университет;Европейский учебный институт;3;636;21;Казань
Вольчугина;Маттур;Новосибирский государственный технический университет;Факультет почвоведения;3;132;21;Новосибирск
Боготынин;Абдулазян;Саратовский медицинский университет имени В.И. Разумовского Министерства здравоохранения РФ;Физический факультет;1;313;25;Саратов
Графсков;Патима;Ижевский государственный технический университет имени М.Т. Калашникова;Факультет фундаментальной физико?химической инженерии;1;314;23;Ижевск
Автюхин;Окс;Национальный исследовательский Мордовский государственный университет имени Н.П. Огарёва;Высшая школа государственного аудита (факультет);1;511;25;Саранск
Гарабаглы;Евдесий;Волгоградский государственный технический университет;Высшая школа управления и инноваций (факультет);1;212;18;Волгоград
Бобровничий;Ардеван;Национальный исследовательский Томский государственный университет;Mеханико?математический факультет;6;661;22;Томск
Вискова;Онтон;Национальный исследовательский университет ?Московский институт электронной техники?;Школа бизнеса и международных компетенций;3;637;22;Москва
Ваничек;Бериллий;Университет ИТМО;Факультет психологии;1;516;22;Санкт-Петербург
Айбадулин;Салам;Новосибирский национальный исследовательский государственный университет;Факультет вычислительной математики и кибернетики;3;232;25;Новосибирск
Аламова;Гюлнара;Казанский национальный исследовательский технический университет имени А.Н. Туполева-КАИ;Международно-правовой факультет;6;965;18;Казань
Елинок;Йоркер;Первый Московский государственный медицинский университет имени И.М. Сеченова Министерства здравоохранения РФ;Географический факультет;2;722;21;Москва
Голинков;Рияз;Казанский национальный исследовательский технический университет имени А.Н. Туполева-КАИ;Факультет лингвистики и межкультурной коммуникации;4;646;24;Казань
Дзикая;Гюльбика;Московский педагогический государственный университет;Факультет Международного бизнеса и делового администрирования;4;846;21;Москва
Баруля;Рузгар;Волгоградский государственный технический университет;Факультет Международного бизнеса и делового администрирования;6;961;22;Волгоград
Гутман;Еуфрозина;Кубанский государственный технологический университет;Институт международных отношений и управления (School of Government and International Affairs);5;857;22;Краснодар
Бурлачков;Жаван;Московский государственный технический университет имени Н.Э. Баумана;Европейский учебный институт;3;334;26;Москва
Гюльбалаева;Каро;Национальный исследовательский университет ?Высшая школа экономики?;Факультет Международных экономических отношений;5;456;22;Москва
Евтюхов;Бастер;Северо-Восточный федеральный университет им. М. К. Аммосова;Факультет лингвистики и межкультурной коммуникации;3;535;18;Якутск
Гаснер;Сагынбек;Московский государственный университет им. М.В. Ломоносова;Mеханико?математический факультет;2;926;21;Москва
Двоеглазова;Давия;Нижегородский государственный технический университет имени Р.Е. Алексеева;Химический факультет;2;827;19;Нижний Новгород
Барвинская;Сеяр;Сибирский государственный аэрокосмический университет имени академика М.Ф. Решетнева;Высшая школа управления и инноваций (факультет);4;241;21;Красноярск
Арсентьева;Польнара;Первый Санкт-Петербургский государственный медицинский университет имени академика И.П. Павлова;Факультет довузовской подготовки;1;717;18;Санкт-Петербург
Дригальская;Мерав;Московский технический университет связи и информатики;Биотехнологический факультет;4;742;25;Москва
Алякбаров;Аклимя;Пермский государственный национальный исследовательский университет;Факультет фундаментальной физико?химической инженерии;6;267;20;Пермь
Бежелукова;Айдос;Московский государственный технологический университет ?СТАНКИН?;Факультет прикладной экономики и коммерции;5;656;20;Москва
Акутникова;Аталея;Пермский государственный национальный исследовательский университет;Высшая школа государственного аудита (факультет);5;255;20;Пермь
Байголов;Беллина;Московский авиационный институт (национальный исследовательский университет);Факультет Международных отношений;4;642;24;Москва
Деняпкина;Гамильтон;Российский государственный педагогический университет имени А. И. Герцена;Высшая школа телевидения (факультет);3;333;23;Санкт-Петербург
Байснопова;Антарам;Пермский государственный национальный исследовательский университет;Факультет управления и политики;3;834;26;Пермь
Гознер;Айдынбика;Волгоградский государственный технический университет;Высшая школа перевода (факультет);4;346;24;Волгоград
Галынкин;Грегори;Казанский национальный исследовательский технический университет имени А.Н. Туполева-КАИ;Химический факультет;3;134;21;Казань
Гордиенкова;Ажела;Российский государственный университет им. Косыгина;Философский факультет;6;463;25;Москва
Голубкин;Бабасы;Национальный исследовательский Томский политехнический университет;Факультет иностранных языков и регионоведения;6;766;20;Томск
Алушина;Тойли;Казанский (Приволжский) федеральный университет;Высшая школа государственного аудита (факультет);5;256;22;Казань
Зобенкова;Лемуэль;Национальный исследовательский Московский государственный строительный университет;Факультет Международных экономических отношений;3;736;21;Москва
Басис;Альберд;Волгоградский государственный технический университет;Институт международных отношений и управления (School of Government and International Affairs);5;353;24;Волгоград
